a|ইংরেজী বর্ণমালার আদ্যাক্ষর
pile|স্তুপ
pink|গোলাপী
pipe|পাইপ
pity|দরদ
plan|পরিকল্পনা
ploy|চাল
ply|নিয়মিতভাবে চলাচল করা
poem|কবিতা
poet|কবি
poll|ভোট
pond|পুকুর
pop|পপ
pot|পাত্র
prey|শিকার
puke|বমি করা
pull|টানা
pulp|মন্ড
pure|নিখাদ
push|ধাক্কা দেওয়া
put|রাখা
pyre|দাহ
rail|রেল
raw|কাঁচা
ray|রশ্মি
rich|ধনী
riff|আরআইএফএফ
riot|দাঙ্গা
rise|বৃদ্ধি হওয়া
roof|ছাদ
room|কামরা
root|মূল
row|সারি
rpm|আরপিএম
rub|কচলানো
ruin|ধ্বংস করা
rule|নিয়ম
run|চল
rust|মরচে
sail|পাল
say|বল
sea|সমুদ্র
seem|মনে হওয়া
sexy|যৌন আবেদনপূর্ণ
sin|পাপ
skin|ত্বক
sky|আকাশ
slip|পিছলে যাওয়া
slot|খাঁজ
slum|নোংরা বস্তী
snow|তুষার
so|সুতরাং
soft|নরম
soil|মাটি
sole|একমাত্র
solo|একক
some|কিছু
soon|শীঘ্রই
soot|ঝুল
sort|সাজানো
sour|টক
spot|দাগ
spy|গোয়েন্দা
stay|থাকা
stop|থামা
stub|অসম্পূর্ণ
suit|মানানসই হওয়া
sum|যোগ
sun|সূর্য
sure|নিশ্চিত
ten|দশ
tiny|খুব ছোট
tour|ভ্রমণ
trio|ত্রয়ী
true|সঠিক
try|চেষ্টা
turn|বাঁক
tusk|প্রলম্বিত দাঁত
tv|টিভি
twin|জমজ
type|টাইপ
u|ইউ
up|উচ্চতর অংশ
us|আমাদের
use|ব্যবহার
ussr|রাশিয়া
via|হয়ে
vote|ভোট
vs|বনাম
way|পথ
we|আমরা
wilt|ধূর্ত
win|জয়
wont|অভ্যস্ত
woo|ভালবাসা অর্জনের চেষ্টা করা
work|কাজ
wry|পাকানো
x|এক্স
ye|তোমরা
yes|হ্যাঁ
yet|এখনো
yoke|জোয়াল
yolk|ডিম্বের পীতাংশ
yon|ওই
yore|পুরাকাল
you|আপনি
your|তোমার
yr|বছর
zinc|দস্তা
zip|বাতাসের মধ্য দিয়ে গুলি ছুটার শব্দের মত শব্দ
zoo|চিড়িয়াখানা
zoom|ছোট বা বড় করা
11th|১১তম
12th|১২তম
13th|১৩তম
4th|৪তম
Iron|লৌহ
Lead|সীসা
agra|আগ্রা
anna|আন্না
cbi|সিবিআই
chad|চাদ
cue|সন্ধান-সূত্র
dick|পুংলিঙ্গ
dth|ডিটিএইচ
e.g.|উদাঃ
fe|ফে
id|আই-ডি
iowa|আইওয়া
k2|কে২
k3|কে৩
k3b|কেথ্রিবি
k4|কে৪
k5|কে৫
león|লিওন
rio|রিও
si|এসআই
sms|এসএমএস
tel|তেল
vpnc|ভিপিএনসি
xml|এক্সএমএল
york|ইয়র্ক
1st|১ম
2nd|২য়
3rd|৩য়
5|৫
7th|সপ্তম
8-bit|৮-বিট
ac3|এসিথ্রি
bbc|বিবিসি
bcd|বিসিডি
cd-i|সিডি-আই
cd-r|সিডি-আর
gd|জিডি
gd2|জিডি-টু
hz|হার্জ
i/o|আই/ও
jun|জুন
kb/s|কেবি/সেকেন্ড
km|কিমি
m|এম
m3u|এমথ্রিইউ
mb|এম-বি
mb/s|এম-বি/সে.
ms|মিলিসেকেন্ড
ok|ঠিক আছে
qt|কিউ-টি
tvs|টিভিএস
urls|ইউ.আর.এল
xmms|এক্সএমএমএস
xvid|এক্সভিড
yuv|ওয়াই-ইউ-ভি
be|হওয়া
19th|১৯তম
a.c|এ সি
s.|এস
16th|১৬তম
15th|১৫তম
dev|দেব
dr|ডঃ
g.c.|জি.সি.
21st|২১ তম
abu|আবূ
dc-7|ডিসি ৭
10th|১০ম
bce|খ্রীষ্টপূর্ব
ce|খ্রীষ্টাব্দ
bc|খ্রীষ্টপূর্বাব্দ
i.e.|অর্থাৎ
owe|ঋণী থাকা
zulu|জুলু
abc|প্রাথমিক জ্ঞান
eg.|উদাঃ
is|হয়
i|আমি
gp|জিপি
5th|৫ম
Gaza|গাজা
md.|মোঃ
wow|চমৎকার
HDD|হার্ডডিস্ক
abba|পরম পিতা
abbe|ফরাসী ধর্মযাজক বিশেষ
aha|ওহো
acme|সর্বোচ্চ সীমা
abet|অসৎ কার্যে সাহায্য করা
adam|আদম
yule|বড়দিনের উৎসব
wise|বিজ্ঞ
yam|মিষ্টি আলু
zion|জেরুজালেমের গিরি
w|ইংরেজি বর্ণমালার ত্রয়োবিংশ অক্ষর
y|ইংরেজি বর্ণমালার পঞ্চবিংশ বর্ণ
z|ইংরেজি বর্ণমালার ষড়বিংশ বর্ণ
